# 20141112 宇津木台語文寫作：完整課堂逐字稿

## 第 1 段
語言：ja｜可信度：1.000

[00:06:18.480 - 00:06:20.480] この絵本の感想はありますか?
[00:06:20.480 - 00:06:28.210] この絵本の中に
[00:06:28.210 - 00:06:30.210] 白紙の上に
[00:06:30.210 - 00:06:32.210] 紅色と
[00:06:32.210 - 00:06:34.210] 黑色の色がある
[00:06:34.210 - 00:06:36.210] 本当だ
[00:06:36.210 - 00:06:45.310] この絵本の中に
[00:06:45.310 - 00:06:47.310] 色がある
[00:06:47.310 - 00:06:54.210] ギターの中に
[00:06:54.210 - 00:07:03.150] この絵本の中に
[00:07:03.150 - 00:07:05.150] 氣球の形状は
[00:07:05.150 - 00:07:07.150] 今、
[00:07:07.150 - 00:07:09.150] 見ると
[00:07:09.150 - 00:07:11.150] 絵本の中に
[00:07:11.150 - 00:07:13.150] 1つの絵本の中に
[00:07:13.150 - 00:07:15.150] 絵本の中に
[00:07:15.150 - 00:07:17.150] 文字がありません
[00:07:17.150 - 00:07:19.150] 絵本の中に
[00:07:19.150 - 00:07:21.150] 文字がありません
[00:07:21.150 - 00:07:23.150] 絵本の中に
[00:07:23.150 - 00:07:25.150] 文字がある
[00:07:25.150 - 00:07:30.770] 絵本の中に
[00:07:30.770 - 00:07:32.770] 紅色、白色
[00:07:32.770 - 00:07:34.770] 非常に簡易
[00:07:34.770 - 00:07:49.410] 白紙の上に
[00:07:49.410 - 00:07:51.410] 紅色は
[00:07:51.410 - 00:07:53.410] 非常に集中
[00:07:53.410 - 00:07:55.410] 非常に簡易
[00:07:55.410 - 00:07:57.410] 非常に簡易
[00:07:57.410 - 00:08:06.770] みんなと
[00:08:06.770 - 00:08:08.770] 思い出した
[00:08:08.770 - 00:08:12.140] みんなと
[00:08:12.140 - 00:08:14.140] 絵本の中に
[00:08:14.140 - 00:08:16.140] 文字がありません
[00:08:16.140 - 00:08:18.140] 絵本の中に
[00:08:18.140 - 00:08:20.140] 文字がありません
[00:08:20.140 - 00:08:22.140] 今日
[00:08:22.140 - 00:08:24.140] 絵本の中に
[00:08:24.140 - 00:08:26.140] 文字がありません
[00:08:26.140 - 00:08:28.140] さあhhh
[00:08:28.140 - 00:08:35.520] 絵本の中に
[00:08:35.520 - 00:08:37.520] 絵本の中に
[00:08:37.520 - 00:08:39.000] 文字を
[00:08:39.000 - 00:08:39.520] 勉強問求
[00:08:39.520 - 00:08:40.520] 動物を
[00:08:40.520 - 00:08:41.520] つぎらせ
[00:08:41.520 - 00:08:43.520] 思う
[00:08:43.520 - 00:08:45.520] ループで
[00:08:45.520 - 00:08:47.520] でした
[00:08:47.520 - 00:08:49.520] これでも
[00:08:49.520 - 00:08:50.520] 絵本の中に
[00:08:50.520 - 00:08:51.520] 文字がありません
[00:08:51.520 - 00:08:53.520] 第1 回
[00:08:53.520 - 00:08:55.520] 絵本の中に
[00:08:55.520 - 00:08:57.520] 文字を
[00:08:57.520 - 00:08:59.520] 揃えながら
[00:08:59.520 - 00:09:00.520] 朗読のことで
[00:09:00.520 - 00:09:05.500] 私は今日は私の含みのキャラクターを使います。
[00:09:05.640 - 00:09:11.460] 私が一本書いる、一本のシアメリカ、一本のシアメリカの記念会を寫ることができます。
[00:09:11.460 - 00:09:14.720] もちろん、私たちは同士に大きな恐怖をしています。
[00:09:14.720 - 00:09:20.800] 私たちも恐怖をすれば、学校までにいかないこともすることをすること。
[00:09:20.800 - 00:09:23.760] そうなので、私たちはあなたにお好みの同士におそらくのように、
[00:09:23.840 - 00:09:27.320] 私たちはあなたの旅読に関心できない。
[00:10:04.390 - 00:10:10.060] あなたは自分の信頼を与えることができます
[00:10:18.770 - 00:10:21.770] 私は他の主人公に行くことができますか?
[00:10:21.770 - 00:10:24.770] 他の人の想像を見てください
[00:10:31.500 - 00:10:34.500] 私たちは私たちの故事を始めます
[00:10:36.500 - 00:10:40.500] 私たちの内心に思い出した故事を
[00:10:40.500 - 00:10:42.500] 私たちに書かせてください
[00:10:45.840 - 00:10:47.840] 私たちの故事とは
[00:11:49.380 - 00:11:52.380] 私たちの他にも人生の人類を彼の人間にすることができます
[00:11:52.380 - 00:11:53.380] 話をした瞬間の方を
[00:11:53.380 - 00:11:55.380] 私たちの話をした瞬間の方を
[00:11:55.380 - 00:11:57.380] 私たちと一緒に話をした瞬間の方を
[00:11:57.380 - 00:11:59.280] 私たちの言葉を
[00:11:59.380 - 00:12:08.420] 私たちに知りたいコメントがあります
[00:12:08.420 - 00:12:10.420] 私たちの言葉を
[00:12:10.420 - 00:12:13.420] 私たちと一緒に話をしてください
[00:12:13.420 - 00:12:17.420] 一緒に話をしてください
[00:12:17.420 - 00:12:20.420] 私たちの故事を始めます
[00:12:20.420 - 00:12:32.820] 彼の筆記本の上にありますか?
[00:12:32.820 - 00:12:34.820] 彼は彼は彼が作っているのです
[00:12:34.820 - 00:12:38.820] 彼は彼の童旋の筆記本の上にあるのです
[00:12:38.820 - 00:12:40.820] 彼は彼の筆記本の上にあるのです
[00:12:40.820 - 00:12:42.820] 彼は彼は彼の表情が大きいです
[00:12:42.820 - 00:13:26.620] 私は
[00:13:26.620 - 00:13:28.620] 汽車に行きました
[00:13:28.620 - 00:14:48.120] 彼は旅行を始めました
[00:14:48.120 - 00:15:25.160] 彼は彼は
[00:15:25.160 - 00:15:27.160] この汽車が飛び出しました
[00:15:27.160 - 00:15:29.160] この汽車が
[00:15:29.160 - 00:16:02.260] 彼は旅行に行きました
[00:16:02.260 - 00:16:04.260] 彼は彼が行きました
[00:17:47.320 - 00:17:49.320] 彼はまま彼の雰囲気を持って行っています
[00:17:49.320 - 00:17:51.320] 彼はアメリカの あ忘れず自分のことを
[00:17:51.320 - 00:17:53.320] 推然してしまいます
[00:17:53.320 - 00:17:54.760] 彼は彼の中でも
[00:17:54.760 - 00:17:57.240] 彼の曲の機会は
[00:17:57.240 - 00:17:59.200] 彼の新しいlayerくらいの
[00:17:59.200 - 00:18:03.200] 想定であるのを
[00:18:03.200 - 00:18:05.200] 知らせる招致。
[00:18:05.200 - 00:18:06.840] 彼は彼 それに
[00:18:06.840 - 00:18:08.640] 彼の手を探して
[00:18:08.640 - 00:18:10.640] 彼の話をして
[00:18:10.640 - 00:18:12.820] 彼の心も
[00:18:12.820 - 00:18:13.900] どころかだった42
[00:18:13.900 - 00:18:14.880] 彼は彼に
[00:18:14.880 - 00:18:16.660] 彼の手を探して

## 第 2 段
語言：ja｜可信度：1.000

[00:18:04.522 - 00:18:07.122] たぶん一個だったら、
[00:18:07.122 - 00:18:08.762] fen is true
[00:18:08.762 - 00:18:09.442] てもだったら Лンヂシの
[00:18:09.442 - 00:18:10.722] 3ague
[00:18:10.722 - 00:18:12.002] たぶん一く合い
[00:18:12.002 - 00:18:13.402] みなさんはちゃんと
[00:18:13.402 - 00:18:15.442] 3個もあります
[00:18:15.442 - 00:18:17.322] これがロイクル試感の
[00:18:17.322 - 00:18:21.162] 南からオリゴデクスする
[00:18:21.442 - 00:18:23.502] 緯緯だったら
[00:18:23.502 - 00:18:26.262] タモの行人の
[00:18:26.262 - 00:18:28.482] ami
[00:18:28.482 - 00:18:35.432] ほんとさしい
[00:18:35.432 - 00:18:39.812] だったか丁から いて話を死してほしい
[00:18:39.812 - 00:19:11.122] 今日も言えば 王奇々しかあります
[00:19:11.142 - 00:19:27.532] 私たちの段階は endlessly bad
[00:19:27.532 - 00:19:39.542] 私たちに行くわからず、私たちに行ける
[00:19:39.542 - 00:19:42.602] 不想が違っためば プルな犬がない
[00:19:42.602 - 00:19:54.332] 私たちに言うとは drill 君の大型を知る
[00:19:54.932 - 00:19:57.812] コail 子って何颰がリクニ Vikum堂
[00:19:57.812 - 00:19:59.532] 俺では何 ladがそれ私じゃない
[00:19:59.532 - 00:20:23.402] ですね、それは俺、私からね、皆さんに食べたんだろ。
[00:20:23.402 - 00:21:17.022] その家の私、ここで、マネニングを食べているのを食べてる。
[00:21:17.022 - 00:21:22.222] ここで、ここで endpointの人たちも、チャンネルの皆さん、チャンネル登録してください。
[00:21:22.222 - 00:21:55.362] それではこの資訓から、チャンネル登録をお願いします。
[00:21:55.362 - 00:22:10.132] 私は、チャンネル登録をぜひチャンネル登録をぜひチャンネル登録をぜひチャンネル登録をぜひ Telegramをぜひ Telegramをぜひさせてください。
[00:22:10.132 - 00:22:13.492] 本当に私の感じが出したい。
[00:22:15.052 - 00:22:18.052] 感動に見てください。
[00:22:18.692 - 00:23:21.202] 非常に。
[00:23:22.562 - 00:23:24.562] どうも!
[00:23:24.562 - 00:23:32.582] 私の人の話がですね。
[00:23:32.582 - 00:23:35.142] 私の話はこの話を教えてください。
[00:23:35.242 - 00:23:38.502] 私の話を教えてください。
[00:23:38.502 - 00:23:40.342] 私の話に教えてください。
[00:23:40.342 - 00:23:52.822] 私の話を教えてください。
[00:23:52.822 - 00:23:59.512] にも發現、この校長跟着不小長、非常好的組合。
[00:23:59.512 - 00:24:03.512] 昨天我們去看到的木中學、
[00:24:03.512 - 00:24:06.512] 看著校長是支持的、
[00:24:06.512 - 00:24:10.512] 但是負校長是比較沒有太大的感覺的、
[00:24:10.512 - 00:24:12.512] 木中學是這樣子的。
[00:24:12.512 - 00:24:15.512] 但是、這個所謂的、
[00:24:15.512 - 00:24:21.512] 今後才小學、校長跟負校長是非常好組合。
[00:24:22.512 - 00:24:25.512] 因為校長非常熱心、部校長較柔軟。
[00:24:25.512 - 00:24:27.512] 所以、她的老師跟學神一起驚訓。
[00:24:27.512 - 00:24:31.512] 所以,長長、飛行なのの老師の、
[00:24:31.512 - 00:24:33.512] 看到的校長可以看到出來,
[00:24:33.512 - 00:24:35.512] 這個是 uncontrollable,
[00:24:35.512 - 00:24:36.512] 抱著一致入学校長。
[00:24:36.512 - 00:24:38.512] 從為她到直、
[00:24:38.512 - 00:24:41.152] 形狙樂、大重曥、
[00:24:41.152 - 00:24:45.342] 真實的統統悫。
[00:24:45.342 - 00:24:47.342] 完全非常重要的。
[00:24:47.342 - 00:24:51.402] 彼らは、ニックスから確認したように、もう一度消しても、
[00:24:51.402 - 00:24:54.402] もう一度消していくぞ!

## 第 3 段
語言：ja｜可信度：1.000

[00:25:15.874 - 00:25:22.524] lying
[00:25:22.524 - 00:25:27.464] that
[00:25:27.464 - 00:26:09.064] とても辛い
[00:26:09.064 - 00:26:09.864] なんか
[00:26:09.864 - 00:26:11.724] 国際賢叫
[00:26:11.724 - 00:26:16.664] 私は
[00:26:16.664 - 00:26:19.404] とてもなのか
[00:26:19.404 - 00:26:21.264] そして
[00:26:21.264 - 00:26:22.744] 私は
[00:26:22.744 - 00:26:24.344] はてて思わせている、
[00:26:25.004 - 00:26:25.484] とりあえずの情況がなどにいる
[00:26:25.484 - 00:26:49.444] でしょ?
[00:26:49.444 - 00:26:50.164] はてことがなりません
[00:26:50.164 - 00:26:51.244] そこにハーインをやっている
[00:26:51.244 - 00:26:52.224] がん、
[00:26:52.224 - 00:26:54.224] はてことも犬についてたって
[00:26:54.224 - 00:26:55.964] 事事性を教えて楽しめてくる
[00:26:55.964 - 00:26:57.384] という訪問がみこが
[00:26:57.384 - 00:27:01.144] 音楽を着くのは
[00:27:01.144 - 00:27:03.304] スレッドカッドカッドカッド
[00:27:03.304 - 00:27:05.124] カッドカッドカッドアッド
[00:27:05.124 - 00:27:06.344] カッドマークキャッド
[00:27:06.344 - 00:27:07.504] ダメージ、
[00:27:07.504 - 00:27:09.244] ダメージにつくの
[00:27:09.244 - 00:27:10.504] 外因も合わせて楽しみ
[00:27:10.504 - 00:27:11.704] てことも寝る
[00:27:11.704 - 00:27:12.564] という訪問で、
[00:27:12.564 - 00:27:42.624] ポンクキャッド
[00:27:42.624 - 00:27:44.524] SIDE

## 第 4 段
語言：ja｜可信度：1.000

[00:28:04.120 - 00:28:06.120] 印専年之後就會善慢 對不對
[00:28:06.120 - 00:28:08.900] 知識を曉乧するというイゼル
[00:28:08.900 - 00:28:10.060] 好猶慶の祖部なども行わず
[00:28:10.060 - 00:28:12.380] あなたが本当に出来たので 違反を会えると
[00:28:12.380 - 00:28:14.120] 一緒に行わずと思う
[00:28:14.120 - 00:28:15.460] 私は思っている父親が相反をしちゃう
[00:28:15.460 - 00:28:17.980] 僕は僕が幸福の移動が
[00:28:17.980 - 00:28:19.780] そのまま、私は幸福の移動が
[00:28:19.780 - 00:28:20.380] 幸福の移動が幸福の移動が幸福で
[00:28:20.380 - 00:28:24.320] 幸福の移動では幸福する
[00:28:24.320 - 00:28:27.660] しかし、如果這樣子做的話,那代表是什麼?
[00:28:27.660 - 00:28:30.760] 我們只是多創状的處理的特色學校
[00:28:30.760 - 00:28:33.000] 但是、說得教育改革是什麼?
[00:28:33.000 - 00:28:36.860] 是、如果說每一間學校在這樣子的體制之下
[00:28:36.860 - 00:28:42.740] 都能夠做到這樣子的程度的話,不這樣子的教育改革才叫做成功
[00:28:42.740 - 00:28:48.200] 所以說、平時三年之後,這個這麼棒的組合換人了
[00:28:48.200 - 00:28:50.480] 換了校長,或是換了副校長了
[00:28:50.480 - 00:28:54.820] 如果這個學校的學校的學校的體、還能持續這樣才叫成功
[00:28:54.820 - 00:28:58.320] 因為他才有辦法真的所謂的
[00:28:58.320 - 00:29:02.320] 生存在這個教育去的裡面,這才是最大的影響力
[00:29:02.320 - 00:29:06.080] 所以當初這個冰字箱小學開校的時候,十六年、開小時候
[00:29:06.080 - 00:29:10.460] 有很多優秀的老師說,我想要去冰字箱小學校的調派去哪裡
[00:29:10.460 - 00:29:16.340] 結果、昨天老師、集合的說,所有是什麼樣的老師,冰字箱小學就開小的時候
[00:29:16.340 - 00:29:20.180] 昨天老師、集合的時候,你在這個神奈專線裡面
[00:29:20.240 - 00:29:24.560] 當年、提出、實誠的老師、全部八季和在冰字箱
[00:29:24.560 - 00:29:29.790] 也就是、所有的問題,老師、全部集合在冰字箱
[00:29:29.790 - 00:29:36.750] 那、國內這樣子、狀態、字箱、冰字箱的教育可以多起來的話,那就代表、確訊、共同體,它真的有它的力量在
[00:29:36.750 - 00:29:38.990] 這是多少學校是所想的
[00:29:38.990 - 00:29:40.590] 所以,到現在也是一樣
[00:29:40.590 - 00:29:45.430] 所有的問題,老師、第一個調、冰字箱,所以,它就剛變成第一個調、冰字箱
[00:29:45.430 - 00:30:00.230] 好,大概可以看一下,靠近看一下,學生
[00:30:00.310 - 00:30:07.590] 去看完其它的同學的之後,接下來,它的表情,跟接下來,它所做的事情
[00:30:07.590 - 00:30:14.390] 因為發現它回到了前面的部分,去看它自己的部分,然後去說改它前面、寫的東西
[00:30:14.390 - 00:30:18.390] 這個就是我們所謂的結構在見構
[00:30:18.390 - 00:30:25.830] 這個就是,我們所謂為什麼零聽,或者是甚至觀察別人,所謂的對話是需要的
[00:30:25.830 - 00:30:33.270] 但是,沒有辦法結構在見構,學生,它就要、觀察、教主、譬如說像,這個中國的學生、沒辦法、對
[00:30:33.270 - 00:30:39.910] 一套它的閱讀長來,這個當然我們可以問一下老師,這個該怎麼去、去幫忙它
[00:30:39.910 - 00:32:15.110] 它就原來是在垂垂球,把它畫得便宇宙,它說,我平常宇宙的時候,我現在找到了原來的那個主人,就出去旅行的一圈之後,找到原來的主人
[00:32:15.110 - 00:33:55.250] 這個交換看一下、紫淨、然後我們再改善、停下,幾乎第一次,看看
[00:33:55.250 - 00:35:31.170] 我們現在先停下,我們來的那一看,其他同學所寫的故事、宅的這個
[00:35:31.170 - 00:35:42.200] 當然我們想要的那一看其他同學的故事,但是大家最近在小族裡面呢
[00:35:42.200 - 00:35:50.520] 請大家把這個故事、想要小後傳一下,我們來先提供一下小族內,每一個人其他同學所寫的故事是什麼?
[00:35:50.520 - 00:37:36.740] 然後一件就是詳細學生譬如說像記住的同學,剛開始的時候三個人都說,老師,我不確定我一個人做不做的出來
[00:37:36.740 - 00:37:40.260] 我們都不可以一起做,不能在那、老師說我們都不可以一起做
[00:37:40.260 - 00:37:45.140] 那是三個人,現在都做出來很棒的東西出來,然後大家一邊看一邊小
[00:37:45.620 - 00:37:50.580] 就是說,老師還是給學生,就是會去派學生說做不到
[00:37:50.580 - 00:37:57.200] 那老師的說,請你要給他一些你的感想哦,你看到別人的作品
[00:37:57.200 - 00:38:36.240] 然後現在呢,這個讀了大家的小族裡面的同學的作品之後,現在請你把話給你的作者
[00:38:36.320 - 00:38:54.470] 我想要來,要先大家要你呢,對於你剛才看了這個同學的作品呢,請你告訴我,要一句話來形容你的同學的作品
[00:38:54.470 - 00:39:07.760] 我得了這個男生的作品,這個作品讓內容的非常簡潔意度
[00:39:07.760 - 00:39:19.140] 用了這個很多,有個有個慢慢地慢慢地的,它的這個女生作品,我覺得它
[00:39:19.140 - 00:39:21.540] 那我很多像這樣的表示方式很棒
[00:39:24.930 - 00:39:39.250] 好,所以我看到這個,我同學,然後有用了很多很多,所以國語練,我們所用的方法,然後我覺得很棒
[00:39:39.250 - 00:40:02.240] 那時候這個女生作用的時候,我覺得它這個故事很深哦,譬如說反復法,或是比育法,然後用了很多人,這節就所有用了這個方法
[00:40:02.240 - 00:40:11.970] 我覺得很棒,來看它的地方不一樣哦,老師看到是大家的表情哦
[00:40:12.850 - 00:40:19.410] 老師的表,老師看到每一個人在寫的時候,表情都是非常的柔軟、很靠性哦
[00:40:19.410 - 00:40:25.170] 然後而且呢,在讀過其他同學作品之後,每一個人都覺得很開心的話,它的效果
[00:40:25.170 - 00:40:36.070] 所以,那這個故事呢,我也相信大家對這個故事,一定放了很多,很棒的這個話語在這個故事裡面
[00:40:36.790 - 00:40:43.670] 那現在的時間を增長的,有没有人,可以想要發表自己的作品,那也給我們聽的嗎?
[00:41:04.320 - 00:41:12.040] 老師大家看著自己的配置的圖,然後一邊聽的同學來念
[00:41:12.040 - 00:41:31.110] 我是小小的球,然後也就先要變大了,可是我要去旅行哦
[00:41:31.110 - 00:41:41.080] 我和由,年の一條線,好像變成紅色的,七九一樣不聽的網上飛
[00:41:41.080 - 00:41:46.690] 我和由一個樹,我修習一下吧
[00:41:47.970 - 00:41:55.910] 該走了,白白樹,還好痛啊
[00:41:55.910 - 00:42:03.520] 我離開了怎麼辦,沒事了,我要走了
[00:42:03.520 - 00:42:11.030] 我變成了一個小蝴蝶,我看到了香月的好多的夜子
[00:42:11.750 - 00:42:13.830] 在海
[00:42:14.230 - 00:42:18.470] 海蟲子、海花、我在這邊
[00:42:19.110 - 00:42:24.310] 在海花、我被人家在走了,在間、在那個
[00:42:24.310 - 00:42:30.180] 在間、票蟲,我要走了,接下來我要變成什麼呢?
[00:42:30.180 - 00:42:31.620] 好難的
[00:42:31.620 - 00:42:38.420] 我看到這個、看到這個溶岩密部,好像要下雨了耶
[00:42:38.500 - 00:42:50.920] 也可以變成雨傘,我還太好了
[00:42:50.920 - 00:43:09.090] 這差說的是不過,這是我是
[00:43:09.090 - 00:43:15.350] 我還去旅行,他就旅行,去了好多地方,也好有趣
[00:43:15.350 - 00:43:16.630] 在一個人
[00:43:25.830 - 00:43:43.330] 王器球
[00:43:43.330 - 00:43:45.490] 只要人吹的話,我就會變了大
[00:43:45.490 - 00:43:55.590] 他的跟一個人的同樣大,我開始就旅行哦
[00:43:55.590 - 00:44:05.170] 我也是有的要線,有一個
[00:44:05.170 - 00:44:08.930] 有一個樹圍,我變成蘋果了,蘋果變身
[00:44:08.930 - 00:44:10.690] 就畫面上去了
[00:44:10.690 - 00:44:18.230] 掉了掉了,掉了,掉了,那個
[00:44:18.230 - 00:44:19.670] 被開了,怎麼辦
[00:44:19.670 - 00:44:23.030] 對了,對了,我可以變成蝴蝶
[00:44:23.030 - 00:44:25.830] 所以有草外,我休息一下
[00:44:25.830 - 00:44:28.230] 有變成了變成回花
[00:44:28.230 - 00:44:33.110] 你被人家在走了
[00:44:33.110 - 00:44:38.150] 好像廣山雨了,好,我變成有山
[00:44:38.150 - 00:44:40.150] 說,越來越冷了
[00:44:40.150 - 00:44:42.710] 說,真的下雨了耶
[00:44:42.710 - 00:44:43.590] 說
[00:44:43.590 - 00:44:48.660] 愛知是誰啊,就是剛才
[00:44:48.660 - 00:44:53.700] 我變成回氣球的時候的主人
[00:44:53.700 - 00:44:55.700] 我在旅行就到此為止
[00:44:55.700 - 00:45:09.000] 到旅這個男生
[00:45:09.000 - 00:45:13.000] 我要保護大野,所以我要從來一個宇宙好好保護他
[00:45:13.000 - 00:45:16.920] 老師又說每一個人的
[00:45:16.920 - 00:45:19.640] 每一個人的作品都非常棒
[00:45:19.640 - 00:45:21.320] 然後很長
[00:45:21.320 - 00:45:23.320] 可惜的時候時間不夠
[00:45:23.320 - 00:45:26.200] 大家都學了很多人都很棒的東西
[00:45:26.200 - 00:45:32.950] 也沒有感受到我跟自己人在寫這個
[00:45:32.950 - 00:45:38.550] 那之前還寫文章的時候的感覺不一樣啊
[00:45:38.550 - 00:45:41.270] 之前都寫得對文字的就說
[00:45:41.270 - 00:45:42.550] 我是氣球
[00:45:42.550 - 00:45:45.110] 我不過了,我飛了非常簡短的
[00:45:45.110 - 00:45:47.750] 確實在是現在寫的確實
[00:45:47.750 - 00:45:49.990] 越來越多越來越豐富了
[00:45:49.990 - 00:45:56.630] 我也希望大家可以把
[00:45:56.630 - 00:46:00.630] 選手學到的東西在很多地方去做活用
[00:46:00.630 - 00:46:02.630] 接下來,今天寫下來
[00:46:02.630 - 00:46:04.230] 在你的那種裡面寫下來
[00:46:04.230 - 00:46:09.330] 今天這一堂課裡的感想
[00:46:09.330 - 00:46:12.290] 就說在這個那種裡面寫下自己的
[00:46:12.290 - 00:46:13.650] 今天的課的感想
[00:46:13.650 - 00:46:16.850] 其實你就可以知道學生的學習在雨哪裡
[00:46:16.850 - 00:46:18.610] 學生就會這樣各有什麼樣的感覺
[00:46:18.610 - 00:46:20.290] 或是他甚至哪裡還不懂的
[00:46:20.290 - 00:47:18.870] 應該是這一番的學生
[00:47:18.870 - 00:47:20.790] 可以看出來他們對於
[00:47:20.790 - 00:47:21.830] 所謂日文的
