語言：ja｜可信度：1.000

[00:00:07.150 - 00:00:15.500] みなさんはちょっと緊張しましたけど、
[00:15:25.160 - 00:15:27.160] この汽車が飛び出しました
[00:15:27.160 - 00:15:29.160] この汽車が
[00:15:29.160 - 00:16:02.260] 彼は旅行に行きました
[00:16:02.260 - 00:16:04.260] 彼は彼が行きました
[00:17:47.320 - 00:17:49.320] 彼はまま彼の雰囲気を持って行っています
[00:17:49.320 - 00:17:51.320] 彼はアメリカの あ忘れず自分のことを
[00:17:51.320 - 00:17:53.320] 推然してしまいます
[00:17:53.320 - 00:17:54.760] 彼は彼の中でも
[00:17:54.760 - 00:17:57.240] 彼の曲の機会は
[00:17:57.240 - 00:17:59.200] 彼の新しいlayerくらいの
[00:17:59.200 - 00:18:03.200] 想定であるのを
[00:18:03.200 - 00:18:05.200] 知らせる招致。
[00:18:05.200 - 00:18:06.840] 彼は彼 それに
[00:18:06.840 - 00:18:08.640] 彼の手を探して
[00:18:08.640 - 00:18:10.640] 彼の話をして
[00:18:10.640 - 00:18:12.820] 彼の心も
[00:18:12.820 - 00:18:13.900] どころかだった42
[00:18:13.900 - 00:18:14.880] 彼は彼に
[00:18:14.880 - 00:18:16.660] 彼の手を探して

